Recdate Month ID	Repdate Month ID	Catalog Number	GPID	ISRC	Product Title	Project Title	Artist Name	Config	Config Desc	Config Type	Account	Account Name	Payee	Start Period	End Period	Price Code	Price Desc	Dist. Ch.	Dist Chan Desc	Territory Code	Location	Country	DSP Number	Digital Service Provider(DSP)	Sale Units	Royalty Payable	Deductible Fees	Net Royalty Payable	Local Product Number	Marketing Owner	Marketing Owner Name
45661	45658	A10302B0011183877L	A10302B0011183877L	AZGHE2448844	VOCE	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	73250	EASTERN EUROPE	BG	31	Spotify	1	0.000068	0.000010	0.000058		5715-329	Woss Music
45661	45658	A10302B0010989916G	A10302B0010989916G	AZGHE2448844	VOCE	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	77500	SWEDEN WM	SE	31	Spotify	2	0.006244	0.000937	0.005307		5715-329	Woss Music
45661	45303	A10302B0011013438N	A10302B0011013438N	AZGHE2448844	VOCE	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	73250	EASTERN EUROPE	BA	767	Facebook	1	0.000017	0.000003	0.000014		5715-329	Woss Music
45661	45303	A10302B0010850757M	A10302B0010850757M	AZGHE2448844	VOCE	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	73250	EASTERN EUROPE	BA	767	Facebook	11	0.000186	0.000028	0.000158		5715-329	Woss Music
45661	45658	A10302B0011049388B	A10302B0011049388B	AZGHE2448844	VOCE	BENZE	BENZE	IV	Internet Video	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	63500	INDONESIA WM	ID	589	YouTube	1	0.003906	0.000586	0.003320		5715-329	Woss Music
45661	45303	A10302B0010850757M	A10302B0010850757M	AZGHE2448844	VOCE	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	27	Ad Channel	55800	COLOMBIA WM	CO	35	YouTube	1	0.048880	0.007332	0.041548		5715-329	Woss Music
45661	45659	A10302B0011002218L	A10302B0011002218L	AZGHE2448844	VOCE	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57000	WEA LATINA	US	827	Snap Inc	63	0.009465	0.001420	0.008045		5715-329	Woss Music
45661	45658	A10302B0011183877L	A10302B0011183877L	AZGHE2448844	VOCE	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	77200	SPAIN WM	ES	31	Spotify	216	0.509751	0.076463	0.433288		5715-329	Woss Music
45661	45658	A10302B0011004399L	A10302B0011004399L	AZGHE2448844	VOCE	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	55800	COLOMBIA WM	CO	35	YouTube	1	0.000313	0.000047	0.000266		5715-329	Woss Music
45661	45303	A10302B0011013438N	A10302B0011013438N	AZGHE2448844	VOCE	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	90600	WEA DIG -NON AFFILIATE INTERNATIONAL	AG	767	Facebook	1	0.000041	0.000006	0.000035		5715-329	Woss Music
45661	45303	A10302B0011013438N	A10302B0011013438N	AZGHE2448844	VOCE	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	90600	WEA DIG -NON AFFILIATE INTERNATIONAL	MH	767	Facebook	1	0.000013	0.000002	0.000011		5715-329	Woss Music
45661	45658	A10302B0011013438N	A10302B0011013438N	AZGHE2448844	VOCE	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	55500	CHILE WM	CL	779	YouTube Music	63	0.108810	0.016322	0.092488		5715-329	Woss Music
45661	45658	A10302B0011003864H	A10302B0011003864H	AZGHE2448844	VOCE	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	55800	COLOMBIA WM	CO	31	Spotify	7	0.000811	0.000122	0.000689		5715-329	Woss Music
45661	45658	A10302B00109897688	A10302B00109897688	AZGHE2448844	VOCE	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57500	MEXICO WM	MX	782	TikTok	1	0.008322	0.001248	0.007074		5715-329	Woss Music
45661	45658	A10302B0011183865R	A10302B0011183865R	AZGHE2448844	VOCE	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	82650	LEBANON	AE	35	YouTube	1	0.015038	0.002256	0.012782		5715-329	Woss Music
